sat_1_001.OUT.txt:*** Exiting Wild_Life  [0.017s cpu, 0.000s gc (0.0%)]
sat_1_002.OUT.txt:*** Exiting Wild_Life  [0.000s cpu, 0.000s gc (-nan%)]
sat_1_003.OUT.txt:*** Exiting Wild_Life  [0.000s cpu, 0.000s gc (-nan%)]
sat_1_004.OUT.txt:*** Exiting Wild_Life  [0.000s cpu, 0.000s gc (-nan%)]
sat_1_005.OUT.txt:*** Exiting Wild_Life  [0.000s cpu, 0.000s gc (-nan%)]
sat_1_006.OUT.txt:*** Exiting Wild_Life  [0.000s cpu, 0.000s gc (-nan%)]
sat_1_007.OUT.txt:*** Exiting Wild_Life  [0.000s cpu, 0.000s gc (-nan%)]
sat_1_008.OUT.txt:*** Exiting Wild_Life  [0.033s cpu, 0.000s gc (0.0%)]
sat_1_009.OUT.txt:*** Exiting Wild_Life  [0.017s cpu, 0.000s gc (0.0%)]
sat_1_010.OUT.txt:*** Exiting Wild_Life  [0.083s cpu, 0.000s gc (0.0%)]
sat_1_011.OUT.txt:*** Exiting Wild_Life  [0.083s cpu, 0.000s gc (0.0%)]
sat_1_012.OUT.txt:*** Exiting Wild_Life  [0.283s cpu, 0.000s gc (0.0%)]
sat_1_013.OUT.txt:*** Exiting Wild_Life  [0.800s cpu, 0.000s gc (0.0%)]
sat_1_014.OUT.txt:*** Exiting Wild_Life  [3.150s cpu, 0.000s gc (0.0%)]
sat_1_015.OUT.txt:*** Exiting Wild_Life  [11.400s cpu, 0.000s gc (0.0%)]
sat_1_016.OUT.txt:*** Exiting Wild_Life  [51.900s cpu, 0.000s gc (0.0%)]
sat_1_017.OUT.txt:*** Exiting Wild_Life  [350.217s cpu, 0.000s gc (0.0%)]
sat_1_018.OUT.txt:*** Exiting Wild_Life  [2181.000s cpu, 0.000s gc (0.0%)]
sat_1_019.OUT.txt:*** Exiting Wild_Life  [11342.667s cpu, 0.000s gc (0.0%)]
sat_2_001.OUT.txt:*** Exiting Wild_Life  [0.000s cpu, 0.000s gc (-nan%)]
sat_2_002.OUT.txt:*** Exiting Wild_Life  [0.000s cpu, 0.000s gc (-nan%)]
sat_2_003.OUT.txt:*** Exiting Wild_Life  [0.000s cpu, 0.000s gc (-nan%)]
sat_2_004.OUT.txt:*** Exiting Wild_Life  [0.000s cpu, 0.000s gc (-nan%)]
sat_2_005.OUT.txt:*** Exiting Wild_Life  [0.000s cpu, 0.000s gc (-nan%)]
sat_2_006.OUT.txt:*** Exiting Wild_Life  [0.000s cpu, 0.000s gc (-nan%)]
sat_2_007.OUT.txt:*** Exiting Wild_Life  [0.017s cpu, 0.000s gc (0.0%)]
sat_2_008.OUT.txt:*** Exiting Wild_Life  [0.017s cpu, 0.000s gc (0.0%)]
sat_2_009.OUT.txt:*** Exiting Wild_Life  [0.033s cpu, 0.000s gc (0.0%)]
sat_2_010.OUT.txt:*** Exiting Wild_Life  [0.067s cpu, 0.000s gc (0.0%)]
sat_2_011.OUT.txt:*** Exiting Wild_Life  [0.100s cpu, 0.000s gc (0.0%)]
sat_2_012.OUT.txt:*** Exiting Wild_Life  [0.350s cpu, 0.000s gc (0.0%)]
sat_2_013.OUT.txt:*** Exiting Wild_Life  [0.817s cpu, 0.000s gc (0.0%)]
sat_2_014.OUT.txt:*** Exiting Wild_Life  [3.183s cpu, 0.000s gc (0.0%)]
sat_2_015.OUT.txt:*** Exiting Wild_Life  [11.617s cpu, 0.000s gc (0.0%)]
sat_2_016.OUT.txt:*** Exiting Wild_Life  [52.700s cpu, 0.000s gc (0.0%)]
sat_2_017.OUT.txt:*** Exiting Wild_Life  [368.900s cpu, 0.000s gc (0.0%)]
sat_2_018.OUT.txt:*** Exiting Wild_Life  [2247.267s cpu, 0.000s gc (0.0%)]
sat_2_019.OUT.txt:*** Exiting Wild_Life  [11078.233s cpu, 0.000s gc (0.0%)]
sat_3_001.OUT.txt:*** Exiting Wild_Life  [0.000s cpu, 0.000s gc (-nan%)]
sat_3_002.OUT.txt:*** Exiting Wild_Life  [0.000s cpu, 0.000s gc (-nan%)]
sat_3_003.OUT.txt:*** Exiting Wild_Life  [0.000s cpu, 0.000s gc (-nan%)]
sat_3_004.OUT.txt:*** Exiting Wild_Life  [0.000s cpu, 0.000s gc (-nan%)]
sat_3_005.OUT.txt:*** Exiting Wild_Life  [0.000s cpu, 0.000s gc (-nan%)]
sat_3_006.OUT.txt:*** Exiting Wild_Life  [0.000s cpu, 0.000s gc (-nan%)]
sat_3_007.OUT.txt:*** Exiting Wild_Life  [0.000s cpu, 0.000s gc (-nan%)]
sat_3_008.OUT.txt:*** Exiting Wild_Life  [0.000s cpu, 0.000s gc (-nan%)]
sat_3_009.OUT.txt:*** Exiting Wild_Life  [0.017s cpu, 0.000s gc (0.0%)]
sat_3_010.OUT.txt:*** Exiting Wild_Life  [0.050s cpu, 0.000s gc (0.0%)]
sat_3_011.OUT.txt:*** Exiting Wild_Life  [0.100s cpu, 0.000s gc (0.0%)]
sat_3_012.OUT.txt:*** Exiting Wild_Life  [0.300s cpu, 0.000s gc (0.0%)]
sat_3_013.OUT.txt:*** Exiting Wild_Life  [0.750s cpu, 0.000s gc (0.0%)]
sat_3_014.OUT.txt:*** Exiting Wild_Life  [3.033s cpu, 0.000s gc (0.0%)]
sat_3_015.OUT.txt:*** Exiting Wild_Life  [11.033s cpu, 0.000s gc (0.0%)]
sat_3_016.OUT.txt:*** Exiting Wild_Life  [48.667s cpu, 0.000s gc (0.0%)]
sat_3_017.OUT.txt:*** Exiting Wild_Life  [353.233s cpu, 0.000s gc (0.0%)]
sat_3_018.OUT.txt:*** Exiting Wild_Life  [2305.583s cpu, 0.000s gc (0.0%)]
sat_3_019.OUT.txt:*** Exiting Wild_Life  [11022.183s cpu, 0.000s gc (0.0%)]
