			visits for	visits for	visits for
	# of Nodes	diff		same		random
N	2^N - 1		type 1		type2		type3
1	1     		1    		1		1
2	3		0		0		0
3	7		1		1		1
4	15		8		8		8
5	31		9		9		9
6	63		32		32		32
7	127		33		33		33
8	255		104		104		104
9	511		105		105		105
10	1023		320		320		320
11	2047		321		321		321
12	4095		968		968		968
13	8191		969		969		969
14	16383		2912		2912		2912
15	32767		2913		2913		2913
16	65535		8744		8744		8744
17	131071		8745		8745		8745
18	262143		26240		26240		26240
19	524287		26241		26241		26241

