limit		Type 1			Type 2			Type 3
1		4.69685e-05 Seconds	5.29289e-05 Seconds	5.81741e-05 Seconds
2		4.81606e-05 Seconds	5.10216e-05 Seconds	5.10216e-05 Seconds
3		7.70092e-05 Seconds	7.29561e-05 Seconds	7.41482e-05 Seconds	
4		0.000165939 Seconds	0.000169992 Seconds	0.000230074 Seconds
5		0.000192881 Seconds	0.000191927 Seconds	0.000197887 Seconds
6		0.000524998 Seconds	0.000497818 Seconds	0.000633955 Seconds
7		0.000591993 Seconds	0.000557899 Seconds	0.000560999 Seconds
8		0.00175214 Seconds	0.00153899 Seconds	0.00154495 Seconds
9		0.00204992 Seconds	0.00178194 Seconds	0.00190306 Seconds
10		0.00553298 Seconds	0.00540805 Seconds	0.00531816 Seconds
11		0.00772381 Seconds	0.00725508 Seconds	0.00721598 Seconds
12		0.024338 Seconds	0.0233228 Seconds	0.023428 Seconds
13		0.057503 Seconds	0.054805 Seconds	0.0553279 Seconds	
14		0.204911 Seconds	0.200397 Seconds	0.202288 Seconds
15		0.707947 Seconds	0.699741 Seconds	0.701671 Seconds
16		3.08965 Seconds		2.98472 Seconds		3.13065 Seconds
17		21.5244 Seconds		21.64 Seconds		21.5916 Seconds
